# {"t_start": 1623940677.349413} 
r,l,t
60.22157,101,11.853619
54.23241,101,11.853668
53.548824,101,11.853682
59.73764,101,11.853692
55.777386,101,11.853701
62.451008,101,11.853709
50.2805,101,11.853716
60.507343,101,11.853724
54.263233,101,20.352491
53.906353,101,20.352533
55.412254,101,20.352547
45.576378,101,20.352561
50.405106,101,20.35257
60.23262,101,20.352578
61.69942,101,20.352586
62.42317,101,20.352596
48.505917,101,28.783993
48.1214,101,28.784036
63.45674,101,28.784048
49.949806,101,28.784058
52.940186,101,28.784066
67.45874,101,28.784075
54.56748,101,28.784083
53.443047,101,28.78409
62.14566,101,37.325369
51.518494,101,37.325412
59.352467,101,37.325425
50.651684,101,37.325435
56.459274,101,37.325443
61.172462,101,37.325451
53.740353,101,37.325459
57.33768,101,37.325467
64.74845,101,45.832387
50.730106,101,45.83243
58.764576,101,45.832442
55.716434,101,45.832457
59.35597,101,45.832465
56.106415,101,45.832473
43.53725,101,45.832481
51.12251,101,45.832489
55.611183,101,54.256204
48.87139,101,54.256245
64.47422,101,54.256258
58.780045,101,54.256268
59.061684,101,54.256277
65.86313,101,54.256285
51.71133,101,54.256293
51.822678,101,54.2563
55.894123,101,62.745279
60.87816,101,62.745321
55.06981,101,62.745334
53.989113,101,62.745344
53.795486,101,62.745353
52.962585,101,62.745361
57.41602,101,62.745369
52.454082,101,62.745377
50.252052,101,71.225312
59.672325,101,71.225358
64.90906,101,71.22537
46.89741,101,71.225385
60.949364,101,71.225394
49.53013,101,71.225402
54.034657,101,71.22541
43.194473,101,71.225418
52.06919,101,79.649511
51.96731,101,79.649554
61.948593,101,79.649566
57.33346,101,79.649576
51.61557,101,79.649585
66.80925,101,79.649593
61.740814,101,79.649601
67.79736,101,79.649615
62.884037,101,88.207067
47.832684,101,88.207111
53.715042,101,88.207124
48.646236,101,88.207133
63.42283,101,88.207142
54.346775,101,88.20715
50.487755,101,88.207158
60.187912,101,88.207166
60.372066,101,96.678487
58.506447,101,96.678529
63.60879,101,96.678542
47.524155,101,96.678552
53.057392,101,96.678561
49.44171,101,96.678569
65.78412,101,96.678577
51.70397,101,96.678585
